"territory","id_indicator","period","territory.ccube.0","territory.ccube.1","territory.ccube.2","territory.ccube.attr.0","value"
"86000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Карелия","3","834"
"86000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Карелия","3","771"
"86000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Карелия","3","733"
"86000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Карелия","3","718"
"87000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Коми","3","849"
"87000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Коми","3","850"
"87000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Коми","3","837"
"87000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Коми","3","857"
"87000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Коми","3","783"
"11800","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ненецкий автономный округ","3","32"
"11800","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ненецкий автономный округ","3","30"
"11800","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ненецкий автономный округ","3","29"
"11800","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ненецкий автономный округ","3","34"
"11800","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ненецкий автономный округ","3","31"
"11000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Архангельская область","3","1148"
"11000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Архангельская область","3","1249"
"11000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Архангельская область","3","1278"
"11000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Архангельская область","3","1251"
"11000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Архангельская область","3","1192"
"19000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Вологодская область","3","1356"
"19000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Вологодская область","3","1583"
"19000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Вологодская область","3","1391"
"19000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Вологодская область","3","1391"
"19000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Вологодская область","3","1369"
"27000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Калининградская область","3","981"
"27000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Калининградская область","3","1068"
"27000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Калининградская область","3","1010"
"27000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Калининградская область","3","1067"
"27000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Калининградская область","3","932"
"41000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ленинградская область","3","1806"
"41000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ленинградская область","3","2201"
"41000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ленинградская область","3","1901"
"41000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ленинградская область","3","1968"
"41000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Ленинградская область","3","1949"
"47000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Мурманская область","3","705"
"47000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Мурманская область","3","732"
"47000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Мурманская область","3","662"
"47000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Мурманская область","3","655"
"47000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Мурманская область","3","701"
"49000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Новгородская область","3","834"
"49000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Новгородская область","3","902"
"49000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Новгородская область","3","829"
"49000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Новгородская область","3","794"
"49000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Новгородская область","3","804"
"58000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Псковская область","3","948"
"58000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Псковская область","3","992"
"58000000","819","31 Aug 2017 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Псковская область","3","917"
"58000000","819","31 Aug 2018 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Псковская область","3","836"
"58000000","819","31 Aug 2019 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Псковская область","3","777"
"40000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Санкт-Петербург","3","4751"
"40000000","819","31 Aug 2016 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Санкт-Петербург","3","4951"
